Designator,Mid X,Mid Y,Rotation,Layer
C1,141.5,-103.4,180.0,top
C10,156.7,-70.14,270.0,top
C11_2,155.53,-69.57,270.0,top
C11,156.05,-93.35,0.0,top
C12,156.0,-67.8,180.0,top
C13,151.05,-85.1,0.0,top
C14,151.41,-83.05,0.0,top
C15,160.87,-76.0,0.0,top
C16,160.83,-73.19,0.0,top
C17,149.7,-62.5,180.0,top
C18,148.1,-60.3,180.0,top
C19,148.4,-62.2,270.0,top
C2,140.0,-100.35,270.0,top
C20,161.9,-69.1,90.0,top
C21,141.1,-89.7,180.0,top
C22,142.0,-95.3,180.0,top
C23,154.05,-84.25,0.0,top
C24,161.65,-94.0398,0.0,top
C25,159.3,-91.7,180.0,top
C26,154.5,-59.1,270.0,top
C27,143.1,-67.41,0.0,top
C28,133.49,-72.96,180.0,top
C29,160.7,-67.9,270.0,top
C3,141.4,-100.8,180.0,top
C30,168.4,-72.8,0.0,top
C4,169.44,-87.23,270.0,top
C5,142.35,-73.6,0.0,top
C6,140.25,-69.3,90.0,top
C7,140.2,-72.1,270.0,top
C8,132.565,-87.758,90.0,top
C9,148.9,-82.6,270.0,top
D10,155.1,-107.1,0.0,top
D2,166.875,-101.65,180.0,top
D3,142.2,-107.3,180.0,top
D4,146.7,-105.5,270.0,top
D5,149.3,-105.5,270.0,top
D6,152.0,-105.5,270.0,top
D7,155.0,-105.5,270.0,top
D8,145.6,-90.0,0.0,top
D9,147.9,-90.0,180.0,top
IC1,142.8675,-71.0,270.0,top
IC2,150.95,-80.95,180.0,top
IC3,151.0,-60.0,270.0,top
IC4,159.846,-96.358,0.0,top
J1,135.55,-107.9,0.0,top
J2,154.35,-91.7,180.0,top
J3,161.925,-102.2,270.0,top
J4,148.45,-85.675,180.0,top
L1,160.35,-74.59,90.0,top
M1,153.35,-82.25,90.0,top
M2,153.35,-79.45,90.0,top
Q1,161.1,-100.2,0.0,top
Q2,144.2625,-87.5,180.0,top
Q3,148.1625,-87.5,180.0,top
Q4,153.0,-87.5,0.0,top
Q5,141.0,-65.4,0.0,top
Q6,133.75,-70.3,0.0,top
Q7,160.97,-65.0,90.0,top
Q8,168.4,-69.8,90.0,top
R1,140.5,-98.95,0.0,top
R10,144.35,-95.05,0.0,top
R11,151.1,-106.6,90.0,top
R12,152.9,-106.6,90.0,top
R13,143.5,-89.9,180.0,top
R14,151.65,-89.7,0.0,top
R15,150.6,-86.75,90.0,top
R16,151.65,-90.7,0.0,top
R17,160.4,-83.47,90.0,top
R18,156.9,-107.1,180.0,top
R19,155.5,-91.89,90.0,top
R2,141.4,-99.9,180.0,top
R20,156.5,-91.9,90.0,top
R21,140.6,-67.1,0.0,top
R22,146.63,-59.26,90.0,top
R23,133.3,-71.79,0.0,top
R24,139.87,-63.26,270.0,top
R25,161.9,-67.3,270.0,top
R26,157.35,-66.4,270.0,top
R27,169.0,-71.65,180.0,top
R28,166.55,-67.35,0.0,top
R3,152.6,-67.0,90.0,top
R4,151.6,-67.0,270.0,top
R5,159.2,-99.8,90.0,top
R6,163.9,-101.9,90.0,top
R7,144.1,-107.3,0.0,top
R8,148.4,-106.6,90.0,top
R9,150.2,-106.6,90.0,top
SW1,163.1,-103.75,0.0,top
U1,172.0,-87.5,90.0,top
U10,161.1388,-59.6906,306.0,top
U11,165.5793,-62.3088,353.0,top
U2,130.0,-87.5,270.0,top
U3,151.0,-72.3,270.0,top
U4,168.883,-105.148,90.0,top
U5,160.4,-71.3,180.0,top
U6,142.7,-92.5,270.0,top
U7,158.3,-87.7,90.0,top
U8,140.8612,-59.6906,54.0,top
U9,136.4207,-62.3088,7.0,top
