Designator,Mid X,Mid Y,Rotation,Layer
C1,149.55,-83.05,0.0,top
C10,159.3,-91.7,180.0,top
C11,156.05,-93.35,0.0,top
C12,169.44,-87.23,270.0,top
C13,161.65,-94.0398,0.0,top
C14,141.5,-103.4,180.0,top
C15,151.05,-85.1,0.0,top
C16,151.41,-83.05,0.0,top
C17,148.45,-61.5,270.0,top
C18,140.5,-94.0,180.0,top
C19,140.5,-88.7,180.0,top
C2,154.05,-84.25,0.0,top
C20,132.565,-87.758,90.0,top
C21,151.95,-58.7,0.0,top
C22,150.35,-58.4,90.0,top
C23,149.4,-58.4,90.0,top
C24,148.45,-59.65,90.0,top
C25,160.83,-73.19,0.0,top
C3,142.35,-73.82,0.0,top
C37,156.7,-70.14,270.0,top
C38,155.53,-69.57,270.0,top
C4,140.26,-72.06,270.0,top
C41,154.25,-64.41,270.0,top
C5,140.27,-69.53,90.0,top
C6,153.75,-62.1,270.0,top
C7,154.75,-60.3,90.0,top
C8,133.7,-69.85,180.0,top
C9,160.87,-76.0,0.0,top
D1,167.6,-101.9,180.0,top
D10,155.3,-105.55,270.0,top
D3,146.7,-105.5,270.0,top
D4,142.2,-107.3,180.0,top
D5,145.6,-90.0,0.0,top
D6,155.56,-107.3,0.0,top
D7,147.9,-90.0,180.0,top
D8,149.575,-105.47,270.0,top
D9,152.47,-105.47,270.0,top
IC2,142.8675,-71.25,270.0,top
IC5,150.95,-80.95,180.0,top
IC6,160.7,-96.35,0.0,top
J1,147.3,-85.4,180.0,top
J2,154.35,-91.7,180.0,top
J3,135.55,-107.9,0.0,top
J4,161.925,-102.2,270.0,top
L1,160.35,-74.59,90.0,top
M1,153.35,-82.25,90.0,top
M2,153.35,-79.45,90.0,top
Q1,141.28,-65.63,90.0,top
Q2,160.71,-66.1,180.0,top
Q3,161.35,-100.3,0.0,top
Q4,144.2625,-87.5,180.0,top
Q5,148.1625,-87.5,180.0,top
Q6,153.0,-87.5,0.0,top
R1,151.65,-89.7,0.0,top
R10,161.79,-63.78,90.0,top
R11,161.4,-67.92,180.0,top
R12,167.73,-69.57,270.0,top
R13,160.17,-64.28,0.0,top
R14,158.58,-66.14,90.0,top
R15,157.64,-66.14,90.0,top
R16,157.39,-107.3,180.0,top
R17,159.2,-99.8,90.0,top
R18,155.5,-91.89,90.0,top
R19,156.5,-91.9,90.0,top
R2,151.65,-90.7,0.0,top
R20,153.7,-60.0,90.0,top
R21,155.68,-66.4,270.0,top
R22,164.075,-102.0,270.0,top
R23,160.4,-83.47,90.0,top
R24,142.4,-88.7,180.0,top
R25,148.6,-106.8,90.0,top
R26,150.53,-106.8,90.0,top
R27,150.6,-86.75,90.0,top
R28,142.4,-94.0,0.0,top
R29,144.1,-107.3,0.0,top
R3,152.3,-66.74,180.0,top
R30,151.5,-106.8,90.0,top
R31,153.4,-106.8,90.0,top
R32,139.85,-101.5,0.0,top
R33,140.5,-100.55,0.0,top
R4,143.45,-66.9,90.0,top
R5,140.4,-63.4,180.0,top
R6,147.45,-59.65,90.0,top
R7,141.27,-67.71,0.0,top
R8,144.4,-66.9,270.0,top
R9,133.26,-68.44,270.0,top
SW3,163.25,-103.75,0.0,top
U1,168.55,-105.1,180.0,top
U10,172.0,-87.5,90.0,top
U11,130.0,-87.5,270.0,top
U13,151.2,-61.3,270.0,top
U2,140.8612,-59.6906,54.0,top
U3,136.4207,-62.3088,7.0,top
U4,165.5793,-62.3088,353.0,top
U5,161.1388,-59.6906,306.0,top
U6,158.3,-87.7,90.0,top
U7,141.3,-91.4,270.0,top
U8,133.65,-71.85,90.0,top
U9,151.0,-71.4,270.0,top
