Designator,Mid X,Mid Y,Rotation,Layer
C1,160.16,-81.19,90.0,top
C10,159.287,-101.852,180.0,top
C11,142.42,-82.39,90.0,top
C12,151.87,-108.37,270.0,top
C13,161.192,-75.763,90.0,top
C14,163.3,-105.87,25.0,top
C15,158.17,-80.46,180.0,top
C16,157.61,-81.69,180.0,top
C17,148.96,-103.74,315.0,top
C18,147.638,-93.837,135.0,top
C19,142.85,-97.69,90.0,top
C2,155.13,-108.4,270.0,top
C20,156.97,-90.27,225.0,top
C21,159.36,-90.33,315.0,top
C22,158.26,-90.92,315.0,top
C23,159.13,-97.64,90.0,top
C24,158.2,-97.64,90.0,top
C25,157.6,-91.58,315.0,top
C26,143.78,-97.69,90.0,top
C27,151.99,-103.09,225.0,top
C28,155.6,-93.71,0.0,top
C29,149.07,-92.39,135.0,top
C3,148.02,-84.23,90.0,top
C30,149.89,-91.58,135.0,top
C31,153.9,-92.22,90.0,top
C32,152.98,-91.82,90.0,top
C35,154.15,-104.34,135.0,top
C4,148.48,-82.72,180.0,top
C5,152.59,-82.85,0.0,top
C6,119.855,-84.962,90.0,bottom
C7,119.836,-93.835,270.0,bottom
C8,149.566,-70.035,270.0,top
D1,139.87,-74.21,270.0,top
D10,149.22,-61.34,90.0,top
D2,145.835,-84.82,0.0,top
D3,152.79,-61.34,90.0,top
D4,164.996,-105.231,205.0,top
D8,151.6,-61.34,90.0,top
D9,150.41,-61.34,90.0,top
IC1,151.017883,-97.577153,225.0,top
IC2,150.6,-85.45,180.0,top
IC3,123.115,-83.938,270.0,top
IC4,123.095,-92.805,270.0,top
IC5,157.94,-84.66,0.0,top
IC6,158.603,-74.521,270.0,top
J1,143.08,-106.59,0.0,top
J2,165.83,-107.09,25.0,top
L1,156.3,-92.25,225.0,top
M1,155.975,-82.9,270.0,top
M2,155.975,-85.961,270.0,top
M3,145.32,-81.93,0.0,top
Q1,142.94,-68.32,0.0,top
Q2,159.1194,-68.339986,180.0,top
Q3,143.31,-79.6,0.0,top
Q4,149.28,-107.6842,270.0,top
R1,159.66,-77.136,180.0,top
R10,160.061,-66.518,180.0,top
R11,159.099,-70.227,180.0,top
R12,160.378,-65.217,180.0,top
R13,156.841,-66.707,0.0,top
R14,156.6,-69.003,180.0,top
R15,154.24,-60.88,180.0,top
R17,142.15,-77.83,0.0,top
R18,146.57,-102.76,315.0,top
R19,148.04,-104.24,315.0,top
R2,158.337,-78.635,180.0,top
R20,142.197,-102.971,90.0,top
R22,145.4,-79.72,270.0,top
R23,158.342,-103.057,180.0,top
R24,155.62,-91.56,225.0,top
R25,152.79,-59.43,270.0,top
R26,151.6,-59.43,270.0,top
R30,150.41,-59.43,270.0,top
R31,149.22,-59.43,270.0,top
R4,140.66,-68.03,90.0,top
R5,143.67,-66.45,180.0,top
R6,147.77,-60.88,0.0,top
R7,140.925,-70.51,0.0,top
R8,145.12,-69.11,270.0,top
R9,141.06,-66.24,0.0,top
SW1,137.82,-105.42,0.0,top
U1,143.21,-73.83,270.0,top
U2,140.86,-60.19,54.0,top
U3,136.82,-62.51,7.0,top
U4,165.18,-62.51,353.0,top
U5,161.135267,-60.185049,306.0,top
U6,158.67,-106.79,90.0,top
U7,154.6,-102.09,45.0,top
